ocupacion_observatorio,ocupacion_cuoc_match_1,score_1,ocupacion_cuoc_match_2,score_2,confianza,requiere_revision
Operadores de Máquinas para el Trabajo de la Madera,AJUSTADOR OPERADOR DE MÁQUINAS PARA TRABAJO DE LA MADERA / AJUSTADORA OPERADORA DE MÁQUINAS PARA TRABAJO DE LA MADERA,0.851,REGULADOR OPERADOR DE MÁQUINAS PARA MADERA / REGULADORA OPERADORA DE MÁQUINAS PARA MADERA,0.819,ALTA,False
Recreacionistas,RECREACIONISTA,0.966,RECEPCIONISTA,0.857,ALTA,False
Operadores de Máquinas para Procesamiento de Plásticos,FABRICANTE DE MOLDES DE PROCESAMIENTO DE PLÁSTICO,0.741,OPERADOR DE MÁQUINA PROCESAMIENTO QUÍMICO / OPERADORA DE MÁQUINA PROCESAMIENTO QUÍMICO,0.719,ALTA,False
Diseñadores Industriales (nivel 2),DISEÑADOR INDUSTRIAL / DISEÑADORA INDUSTRIAL,0.64,DISEÑADOR DE PRODUCTOS INDUSTRIALES / DISEÑADORA DE PRODUCTOS INDUSTRIALES,0.633,MEDIA,False
6372,MONTAJISTA 360,0.111,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.078,BAJA,True
6322,ANIMADOR 2D / ANIMADORA 2D,0.138,MONTAJISTA 360,0.111,BAJA,True
2313,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
8451,ÑEQUERA,0.0,ÁRBITRO DEPORTIVO / ÁRBITRA DEPORTIVA,0.0,BAJA,True
"Matemáticos, Estadísticos y Actuarios",ESTADÍSTICO MATEMÁTICO / ESTADÍSTICA MATEMÁTICA,0.61,GERENTE DE SERVICIOS ESTADÍSTICOS / GERENTA DE SERVICIOS ESTADÍSTICOS,0.6,MEDIA,False
Médicos Especialistas,MÉDICO ESPECIALISTA / MÉDICA ESPECIALISTA,0.656,ESPECIALISTA EN RIEGOS,0.605,MEDIA,False
9313,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
Supervisores de fabricación y ensamble de otros productos nca,INSPECTOR DE FABRICACIÓN Y ENSAMBLE DE PRODUCTOS MADERA / INSPECTORA DE FABRICACIÓN Y ENSAMBLE DE PRODUCTOS MADERA,0.875,AYUDANTE DE FABRICACIÓN DE PRODUCTOS DE CAUCHO,0.817,ALTA,False
Inspectores de Sistemas de Suministros de Gas Licuado del Petróleo,INSPECTOR DEL SISTEMA DE SUMINISTRO DE GAS LICUADO DEL PETRÓLEO GLP / INSPECTORA DEL SISTEMA DE SUMINISTRO DE GAS LICUADO DEL PETRÓLEO GLP,0.911,INSPECTOR TÉCNICO DE GAS LICUADO DEL PETRÓLEO / INSPECTORA TÉCNICA DE GAS LICUADO DEL PETRÓLEO,0.828,ALTA,False
1346,MONTAJISTA 360,0.222,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.078,BAJA,True
"Operadores de Máquinas de Tintura, Acabado Textil y Prendas","OPERADOR DE MÁQUINAS DE TINTURA, ACABADO TEXTIL Y PRENDAS / OPERADORA DE MÁQUINAS DE TINTURA, ACABADO TEXTIL Y PRENDAS",1.147,OPERADOR DE MÁQUINA DE TINTURA Y ACABADO DE TEXTILES / OPERADORA DE MÁQUINA DE TINTURA Y ACABADO DE TEXTILES,0.806,ALTA,False
Operadores de Planta de Gas,CAPATAZ DE PLANTA DE GAS,0.945,OPERADOR DE PLANTA DE GAS / OPERADORA DE PLANTA DE GAS,0.825,ALTA,False
Profesionales en Gestión de Riesgo de Desastres,ANALISTA DE GESTIÓN DEL RIESGO DE DESASTRES,1.078,AUXILIAR DE GESTIÓN DE RIESGO DE DESASTRES,1.042,ALTA,False
8462,MONTAJISTA 360,0.111,ANIMADOR 2D / ANIMADORA 2D,0.069,BAJA,True
Auxiliares de Biblioteca,AUXILIAR DE BIBLIOTECA,1.057,AUXILIAR DE BIBLIOTECA DE MÚSICA,0.886,ALTA,False
"Investigadores, Consultores y Funcionarios de Políticas Sociales, de Salud y de Educación","INVESTIGADOR, CONSULTOR Y FUNCIONARIO DE POLÍTICAS SOCIALES DE SALUD Y DE EDUCACIÓN / INVESTIGADORA, CONSULTORA Y FUNCIONARIA DE POLÍTICAS SOCIALES DE SALUD Y DE EDUCACIÓN",1.043,INVESTIGADOR DE POLÍTICAS DE LA SALUD / INVESTIGADORA DE POLÍTICAS DE LA SALUD,0.7,ALTA,False
"Supervisores, Producción Agrícola",SUPERVISOR DE PRODUCCIÓN AGRÍCOLA / SUPERVISORA DE PRODUCCIÓN AGRÍCOLA,0.814,GERENTE DE PRODUCCIÓN AGRÍCOLA / GERENTA DE PRODUCCIÓN AGRÍCOLA,0.689,ALTA,False
Supervisores de operación de equipo pesado,INSTRUCTOR DE OPERACIÓN EQUIPO PESADO / INSTRUCTORA DE OPERACIÓN EQUIPO PESADO,0.871,SUPERVISOR DE PERSONAL MECÁNICO DE EQUIPO PESADO / SUPERVISORA DE PERSONAL MECÁNICO DE EQUIPO PESADO,0.725,ALTA,False
1352,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
Ensambladores e Inspectores de Muebles y Accesorios,ENSAMBLADOR DE MUEBLES / ENSAMBLADORA DE MUEBLES,0.651,COORDINADOR DE PRODUCCIÓN DE MUEBLES Y ACCESORIOS / COORDINADORA DE PRODUCCIÓN DE MUEBLES Y ACCESORIOS,0.647,MEDIA,False
Técnicos en desarrollo de productos para la asistencia en salud,TÉCNICO EN DESARROLLO DE PRODUCTOS DE ASISTENCIA EN SALUD / TÉCNICA EN DESARROLLO DE PRODUCTOS DE ASISTENCIA EN SALUD,1.015,ASISTENTE INDUSTRIAL DE DESARROLLO DE PRODUCTOS / ASISTENTA INDUSTRIAL DE DESARROLLO DE PRODUCTOS,0.766,ALTA,False
7231,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
Topógrafos,TOPÓGRAFO / TOPÓGRAFA,0.6,SOPRANO,0.588,MEDIA,False
Ingenieros Electrónicos y de Telecomunicaciones,ELECTRICISTA DE EQUIPO DE TELECOMUNICACIONES,0.781,INGENIERO ELECTRÓNICO / INGENIERA ELECTRÓNICA,0.725,ALTA,False
Profesores de Educación Básica Primaria,DOCENTE DE EDUCACIÓN BÁSICA PRIMARIA,1.153,PROFESOR DE EDUCACIÓN BÁSICA PRIMARIA / PROFESORA DE EDUCACIÓN BÁSICA PRIMARIA,0.938,ALTA,False
6644,MONTAJISTA 360,0.111,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.078,BAJA,True
Obreros y Ayudantes en la Elaboración de Alimentos y Bebidas,AYUDANTE DE ELABORACIÓN DE ALIMENTOS Y BEBIDAS,1.149,OBRERO AYUDANTE EN ELABORACIÓN DE ALIMENTOS Y BEBIDAS / OBRERA AYUDANTE EN ELABORACIÓN DE ALIMENTOS Y BEBIDAS,0.931,ALTA,False
Auxiliares administrativos en Salud,AUXILIAR DE APOYO ADMINISTRATIVO EN SALUD,0.968,AUXILIAR DE REGISTRO Y ADMISIONES EN SALUD,0.775,ALTA,False
Artesanos,BARITENOR,0.667,ARCEDIANO,0.667,MEDIA,False
Buzos,BUZO,0.889,BONZO,0.6,ALTA,False
7313,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
Profesionales en ciencias forenses,PROFESIONAL EN CIENCIAS FORENSES,1.17,ESPECIALISTA EN CIENCIAS FORENSES,1.006,ALTA,False
Despachador de Aeronaves,DESPACHADOR DE AERONAVES / DESPACHADORA DE AERONAVES,0.84,ELECTRICISTA DE AERONAVES,0.753,ALTA,False
Supervisores de operación de transporte ferroviario,ELECTRICISTA DE TRANSPORTE FERROVIARIO,0.897,MAQUINISTA DE TRANSPORTE FERROVIARIO,0.89,ALTA,False
0813,MONTAJISTA 360,0.111,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.078,BAJA,True
1344,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
Jardineros,ARTILLERO,0.632,ARCEDIANO,0.632,MEDIA,False
Auxiliares de Servicios a Viajeros,AUXILIAR DE SERVICIOS A VIAJEROS,1.17,AUXILIAR DE SERVICIOS FINANCIEROS,0.936,ALTA,False
6357,MONTAJISTA 360,0.111,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.078,BAJA,True
3131,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
9614,MONTAJISTA 360,0.111,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.039,BAJA,True
8391,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
"Operadores de moldeo de arcilla, piedra y concreto","OPERADOR DE MOLDEO DE ARCILLA, PIEDRA Y CONCRETO / OPERADORA DE MOLDEO DE ARCILLA, PIEDRA Y CONCRETO",1.044,"EXTRUSOR DE PRODUCTOS DE CONCRETO, ARCILLA Y PIEDRA / EXTRUSORA DE PRODUCTOS DE CONCRETO, ARCILLA Y PIEDRA",0.8,ALTA,False
Profesores de preescolar,DOCENTE DE PREESCOLAR,0.856,AUXILIAR DE PREESCOLAR,0.752,ALTA,False
5212,ANIMADOR 2D / ANIMADORA 2D,0.138,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.087,BAJA,True
5268,MONTAJISTA 360,0.111,ANIMADOR 2D / ANIMADORA 2D,0.069,BAJA,True
0821,MONTAJISTA 360,0.111,ANIMADOR 2D / ANIMADORA 2D,0.069,BAJA,True
Profesionales de formación y desarrollo de personal,PROFESIONAL DE DESARROLLO DE PERSONAL,1.041,PROFESIONAL DE FORMACIÓN DE PERSONAL,1.028,ALTA,False
"Supervisores de perforación y servicios, pozos de petróleo y gas",CAPATAZ DE PERFORACIÓN DE POZOS DE PETRÓLEO Y GAS,1.15,SUPERVISOR DE PERFORACIÓN Y SERVICIOS DE POZOS DE PETRÓLEO Y GAS / SUPERVISORA DE PERFORACIÓN Y SERVICIOS DE POZOS DE PETRÓLEO Y GAS,1.129,ALTA,False
Suboficiales de las fuerzas militares,SUBOFICIAL DE LAS FUERZAS MILITARES,1.172,OFICIAL FUERZAS MILITARES,1.006,ALTA,False
Consultores y funcionarios de desarrollo económico y comercial,CONSULTOR FUNCIONARIO DE DESARROLLO ECONÓMICO Y COMERCIAL / CONSULTORA FUNCIONARIA DE DESARROLLO ECONÓMICO Y COMERCIAL,0.937,CONSULTOR DE DESARROLLO ECONÓMICO / CONSULTORA DE DESARROLLO ECONÓMICO,0.795,ALTA,False
3234,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
"Auxiliares de producción audiovisual, de eventos y espectáculos",AUXILIAR DE PRODUCCIÓN DE EVENTOS Y ESPECTÁCULOS,1.173,AUXILIAR DE PRODUCCIÓN TÉCNICA MUSICAL DE EVENTOS,0.903,ALTA,False
6381,MONTAJISTA 360,0.111,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.078,BAJA,True
2132,ANIMADOR 2D / ANIMADORA 2D,0.138,MONTAJISTA 360,0.111,BAJA,True
"Ocupaciones de Asistencia en Cine, Televisión y Artes Escénicas","ASISTENTE DE CINE, TELEVISIÓN Y ARTES ESCÉNICAS / ASISTENTA DE CINE, TELEVISIÓN Y ARTES ESCÉNICAS",0.951,"ASISTENTE TÉCNICO DE CINE, TELEVISIÓN Y ARTES ESCÉNICAS / ASISTENTA TÉCNICA DE CINE, TELEVISIÓN Y ARTES ESCÉNICAS",0.923,ALTA,False
Cajeros de Comercio,PLANNER DE COMERCIO,0.889,CAJERO DE COMERCIO / CAJERA DE COMERCIO,0.732,ALTA,False
0712,MONTAJISTA 360,0.111,ANIMADOR 2D / ANIMADORA 2D,0.069,BAJA,True
9227,ANIMADOR 2D / ANIMADORA 2D,0.138,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.087,BAJA,True
Graficadores de imágenes computarizadas,GRAFICADOR DE IMÁGENES COMPUTARIZADAS / GRAFICADORA DE IMÁGENES COMPUTARIZADAS,0.838,GRAFICADOR DE IMÁGENES 3D / GRAFICADORA DE IMÁGENES 3D,0.709,ALTA,False
Operadores de maquinaria agrícola,OPERADOR DE MAQUINARIA AGRÍCOLA / OPERADORA DE MAQUINARIA AGRÍCOLA,0.833,MAQUINISTA AGRÍCOLA,0.754,ALTA,False
Auxiliares de aduana,AUXILIAR DE ADUANA,1.047,AUXILIAR DE SAUNA,0.865,ALTA,False
Auxiliares en Instrumentación Industrial,AUXILIAR EN SEGURIDAD INDUSTRIAL,0.794,INSTRUMENTISTA INDUSTRIAL,0.777,ALTA,False
Operarios de Riego Agrícola,OPERARIO DE RIEGO AGRÍCOLA / OPERARIA DE RIEGO AGRÍCOLA,0.842,OPERARIO DE RIEGO / OPERARIA DE RIEGO,0.767,ALTA,False
Digitalizadores,DIGITADOR / DIGITADORA,0.611,DIGITALIZADOR / DIGITALIZADORA,0.591,MEDIA,False
1335,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
Otros Ensambladores e Inspectores n.c.a.,INSPECTOR ESCOLAR / INSPECTORA ESCOLAR,0.622,ENSAMBLADOR DE TRACTORES / ENSAMBLADORA DE TRACTORES,0.591,MEDIA,False
"Operadores de control de procesos, producción de pulpa",OPERADOR DE CONTROL DE PROCESOS PRODUCCIÓN DE PULPA / OPERADORA DE CONTROL DE PROCESOS PRODUCCIÓN DE PULPA,1.046,OPERADOR DE CONTROL CENTRAL PRODUCCIÓN PULPA / OPERADORA DE CONTROL CENTRAL PRODUCCIÓN PULPA,0.883,ALTA,False
Técnicos en Telecomunicaciones,ANALISTA DE SISTEMAS EN TELECOMUNICACIONES,0.794,ELECTRICISTA DE EQUIPO DE TELECOMUNICACIONES,0.776,ALTA,False
Diseñadores Industriales (nivel 1),DISEÑADOR INDUSTRIAL / DISEÑADORA INDUSTRIAL,0.64,DISEÑADOR DE PRODUCTOS INDUSTRIALES / DISEÑADORA DE PRODUCTOS INDUSTRIALES,0.633,MEDIA,False
Gerentes de servicios hoteleros,AUXILIAR DE SERVICIOS HOTELEROS,0.974,AGENTE DE SERVICIOS COUNTER,0.893,ALTA,False
Agentes de aduana,AGENTE DE CARGA Y ADUANA,0.88,AGENTE DE FIDUCIA,0.765,ALTA,False
0012,MONTAJISTA 360,0.111,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.078,BAJA,True
5137,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
6323,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
"Patronistas de Productos de Tela, Cuero y Piel",PATRONISTA DE PRODUCTOS DE CUERO,1.031,PATRONISTA DE PRODUCTOS DE PIEL,1.016,ALTA,False
Ayudantes de mecánica,AYUDANTE DE MECÁNICA DIÉSEL,0.933,DIBUJANTE DE MECÁNICA,0.91,ALTA,False
Instaladores de Redes y Equipos a Gas,INSTALADOR DE REDES Y EQUIPOS A GAS / INSTALADORA DE REDES Y EQUIPOS A GAS,0.936,INSTALADOR DE REDES DE GAS / INSTALADORA DE REDES DE GAS,0.743,ALTA,False
6312,MONTAJISTA 360,0.111,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.078,BAJA,True
"Supervisores, Fabricación de Productos de Plástico y Caucho",AYUDANTE DE FABRICACIÓN DE PRODUCTOS DE PLÁSTICO,1.055,SUPERVISOR DE FABRICACIÓN DE PRODUCTOS DE PLÁSTICO Y CAUCHO / SUPERVISORA DE FABRICACIÓN DE PRODUCTOS DE PLÁSTICO Y CAUCHO,1.037,ALTA,False
4215,ANIMADOR 2D / ANIMADORA 2D,0.069,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.043,BAJA,True
8333,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
Higienistas Dentales,HIGIENISTA ORAL,0.743,HIGIENISTA OCUPACIONAL,0.667,ALTA,False
8484,ÑEQUERA,0.0,ÁRBITRO DEPORTIVO / ÁRBITRA DEPORTIVA,0.0,BAJA,True
2112,ANIMADOR 2D / ANIMADORA 2D,0.138,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.087,BAJA,True
4112,ANIMADOR 2D / ANIMADORA 2D,0.069,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.043,BAJA,True
Artesanos trabajos en maderables y no maderables,ARTESANO DE TRABAJOS NO MADERABLES / ARTESANA DE TRABAJOS NO MADERABLES,0.825,ARTESANO DE TRABAJOS EN MADERA / ARTESANA DE TRABAJOS EN MADERA,0.809,ALTA,False
5138,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
Consejeros de Servicios de Empleo,CONSEJERO DE SERVICIOS DE EMPLEO / CONSEJERA DE SERVICIOS DE EMPLEO,0.846,AYUDANTE DE SERVICIOS DE CORREOS,0.746,ALTA,False
Profesionales en Recursos Humanos,PROFESIONAL DE RECURSOS HUMANOS,1.106,AUXILIAR DE RECURSOS HUMANOS,0.823,ALTA,False
Otros Ensambladores e Inspectores nca,INSPECTOR ESCOLAR / INSPECTORA ESCOLAR,0.622,ENSAMBLADOR DE TRACTORES / ENSAMBLADORA DE TRACTORES,0.591,MEDIA,False
3121,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
"Auxiliar técnico de instalación, mantenimiento y reparación de sistemas de Telecomunicaciones",AUXILIAR DE INSTALACIÓN Y REPARACIÓN DE REDES DE TELECOMUNICACIONES,1.205,TÉCNICO EN INSTALACIÓN Y MANTENIMIENTO DE REDES DE TELECOMUNICACIONES / TÉCNICA EN INSTALACIÓN Y MANTENIMIENTO DE REDES DE TELECOMUNICACIONES,0.952,ALTA,False
Inspectores de Riego Agrícola,INSPECTOR DE RIEGO AGRÍCOLA / INSPECTORA DE RIEGO AGRÍCOLA,0.828,SUPERVISOR DE RIEGO AGRÍCOLA / SUPERVISORA DE RIEGO AGRÍCOLA,0.723,ALTA,False
Supervisores de Explotación Forestal y Silvicultura,SUPERVISOR DE EXPLOTACIÓN FORESTAL / SUPERVISORA DE EXPLOTACIÓN FORESTAL,0.872,DIRECTOR DE EXPLOTACIÓN FORESTAL / DIRECTORA DE EXPLOTACIÓN FORESTAL,0.776,ALTA,False
Instaladores de Tuberías para Sistemas de Extinción de Incendios,INSTALADOR DE TUBERÍAS PARA SISTEMAS DE EXTINCIÓN DE INCENDIOS / INSTALADORA DE TUBERÍAS PARA SISTEMAS DE EXTINCIÓN DE INCENDIOS,1.049,INSTALADOR DE TUBERÍAS Y SISTEMAS DE EXTINCIÓN / INSTALADORA DE TUBERÍAS Y SISTEMAS DE EXTINCIÓN,0.967,ALTA,False
Obreros de Mantenimiento de Obras Públicas,AYUDANTE DE MANTENIMIENTO DE ÁREAS PÚBLICAS,1.0,OBRERO DE MANTENIMIENTO DE OBRAS PÚBLICAS / OBRERA DE MANTENIMIENTO DE OBRAS PÚBLICAS,0.951,ALTA,False
9112,ANIMADOR 2D / ANIMADORA 2D,0.069,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.043,BAJA,True
6633,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
2161,MONTAJISTA 360,0.111,ANIMADOR 2D / ANIMADORA 2D,0.069,BAJA,True
Obreros y ayudantes de obras públicas,OBRERO DE OBRAS PÚBLICAS / OBRERA DE OBRAS PÚBLICAS,0.752,AYUDANTE DE MANTENIMIENTO DE ÁREAS PÚBLICAS,0.725,ALTA,False
"Diseñadores de teatro, moda, exhibición y otros diseñadores creativos",DISEÑADOR DE TEATRO / DISEÑADORA DE TEATRO,0.767,DISEÑADOR DE MODA / DISEÑADORA DE MODA,0.696,ALTA,False
7322,ANIMADOR 2D / ANIMADORA 2D,0.138,MONTAJISTA 360,0.111,BAJA,True
9387,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
1222,ANIMADOR 2D / ANIMADORA 2D,0.138,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.087,BAJA,True
0213,MONTAJISTA 360,0.111,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.078,BAJA,True
Operadores de producción de hidrocarburos,OPERADOR DE PRODUCCIÓN DE HIDROCARBUROS / OPERADORA DE PRODUCCIÓN DE HIDROCARBUROS,0.839,AUXILIAR VIAL DE CONSTRUCCIÓN DE HIDROCARBUROS,0.79,ALTA,False
Ingenieros  Electrónicos,DELINEANTE DE ELECTRÓNICA,0.667,DELINEANTE DE INGENIERÍA ELECTRÓNICA,0.644,MEDIA,False
Editores y Redactores,REDACTOR / REDACTORA,0.75,EDITOR / EDITORA,0.722,ALTA,False
Operarios de Rampa -Transporte Aéreo,AGENTE DE RAMPA DE TRANSPORTE AÉREO,1.071,OPERARIO DE RAMPA DE TRANSPORTE AÉREO / OPERARIA DE RAMPA DE TRANSPORTE AÉREO,0.913,ALTA,False
Intérpretes Musicales,INTÉRPRETE MUSICAL,0.923,INTÉRPRETE VOCAL,0.757,ALTA,False
6311,MONTAJISTA 360,0.111,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.078,BAJA,True
6343,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
Ejecutantes musicales,EJECUTANTE MUSICAL,0.923,REPRESENTANTE MUSICAL,0.714,ALTA,False
Cajeros de comercio,PLANNER DE COMERCIO,0.889,CAJERO DE COMERCIO / CAJERA DE COMERCIO,0.732,ALTA,False
Asesores integrales de imagen,ANALISTA DE SISTEMAS INTEGRADOS DE GESTIÓN,0.62,ASESOR DE IMAGEN / ASESORA DE IMAGEN,0.6,MEDIA,False
Auxiliares en automatización e instrumentación industrial,TECNÓLOGO EN AUTOMATIZACIÓN E INSTRUMENTACIÓN INDUSTRIAL / TECNÓLOGA EN AUTOMATIZACIÓN E INSTRUMENTACIÓN INDUSTRIAL,0.961,INGENIERO DE AUTOMATIZACIÓN E INSTRUMENTACIÓN INDUSTRIAL / INGENIERA DE AUTOMATIZACIÓN E INSTRUMENTACIÓN INDUSTRIAL,0.95,ALTA,False
Otros Obreros y Ayudantes en Fabricación y Procesamiento nca,AYUDANTE EN FABRICACIÓN DE PRODUCTOS DE METAL,0.729,AYUDANTE DE FABRICACIÓN DE PRODUCTOS DE CAUCHO,0.723,ALTA,False
Ensambladores de productos electrónicos,ENSAMBLADOR DE PRODUCTOS ELECTRÓNICOS / ENSAMBLADORA DE PRODUCTOS ELECTRÓNICOS,0.838,ENSAMBLADOR DE PRODUCTOS DE CARTÓN / ENSAMBLADORA DE PRODUCTOS DE CARTÓN,0.7,ALTA,False
Gerentes Cadena de  Suministro,AGENTE DE SUMINISTROS,0.76,GERENTE DE CADENA DE SUMINISTROS / GERENTA DE CADENA DE SUMINISTROS,0.689,ALTA,False
"Auxiliares de Banca, Seguros y Otros Servicios Financieros",AUXILIAR DE SERVICIOS FINANCIEROS,0.933,ANALISTA DE SERVICIOS FINANCIEROS,0.844,ALTA,False
8363,MONTAJISTA 360,0.222,ANIMADOR 3D / ANIMADORA 3D,0.138,BAJA,True
9363,MONTAJISTA 360,0.222,ANIMADOR 3D / ANIMADORA 3D,0.138,BAJA,True
Operadores de cámara de cine y televisión,AUXILIAR DE CÁMARA DE CINE Y DE TELEVISIÓN,1.071,OPERADOR DE CÁMARA DE CINE Y TELEVISIÓN / OPERADORA DE CÁMARA DE CINE Y TELEVISIÓN,0.939,ALTA,False
Operarios de Planta de Procesamiento y Empaque de Pescado,OPERADOR DE PLANTA DE PROCESAMIENTO Y EMPAQUE DE PESCADO / OPERADORA DE PLANTA DE PROCESAMIENTO Y EMPAQUE DE PESCADO,1.028,OPERADOR DE PLANTA DE PROCESAMIENTO DE PESCADO / OPERADORA DE PLANTA DE PROCESAMIENTO DE PESCADO,0.945,ALTA,False
Aseadores especializados y fumigadores,ASEADOR ESPECIALIZADO / ASEADORA ESPECIALIZADA,0.675,ASEADOR ESPECIALIZADO FUMIGADOR / ASEADORA ESPECIALIZADA FUMIGADORA,0.635,MEDIA,False
Baristas,BARISTA,0.933,BATERISTA,0.824,ALTA,False
"Sastres, modistos, peleteros y sombrereros",PATRONISTA DE SOMBREROS,0.603,PINTOR DE LETREROS / PINTORA DE LETREROS,0.557,MEDIA,False
4122,ANIMADOR 2D / ANIMADORA 2D,0.138,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.087,BAJA,True
Asistentes de Personal y Selección,ASISTENTE DE PERSONAL Y SELECCIÓN / ASISTENTA DE PERSONAL Y SELECCIÓN,0.847,ASISTENTE DE SELECCIÓN DE PERSONAL / ASISTENTA DE SELECCIÓN DE PERSONAL,0.835,ALTA,False
Trabajadores Pecuarios,TRABAJADOR PECUARIO / TRABAJADORA PECUARIA,0.603,PADRE COMUNITARIO,0.564,MEDIA,False
Obreros y ayudantes de planta química,AYUDANTE DE PLANTA QUÍMICA,1.025,OBRERO Y AYUDANTE DE PLANTA QUÍMICA / OBRERA Y AYUDANTA DE PLANTA QUÍMICA,0.842,ALTA,False
Oficiales de construcción,OFICIAL DE CONSTRUCCIÓN,1.058,OFICIAL DE CONSTRUCCIÓN CON TIERRA,0.88,ALTA,False
Auxiliares de Correo y Servicio Postal,AUXILIAR DE CORREOS Y SERVICIO POSTAL,1.16,AUXILIAR DE SERVICIO DE PESAJE,0.806,ALTA,False
Gerentes de Producción Industrial,GERENTE DE PRODUCCIÓN INDUSTRIAL / GERENTA DE PRODUCCIÓN INDUSTRIAL,0.846,JEFE DE PRODUCCIÓN INDUSTRIAL / JEFA DE PRODUCCIÓN INDUSTRIAL,0.781,ALTA,False
1235,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
8422,ANIMADOR 2D / ANIMADORA 2D,0.138,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.087,BAJA,True
Asistentes en saneamiento ambiental,ASISTENTE EN SANEAMIENTO AMBIENTAL / ASISTENTA EN SANEAMIENTO AMBIENTAL,0.848,ASISTENTE AMBIENTAL Y DE SANEAMIENTO / ASISTENTA AMBIENTAL Y DE SANEAMIENTO,0.824,ALTA,False
"Sociólogos, Antropólogos y Afines",ANTROPÓLOGO / ANTROPÓLOGA,0.643,SOCIÓLOGO / SOCIÓLOGA,0.615,MEDIA,False
Conductores de vehículos pesados,INSPECTOR DE VEHÍCULOS / INSPECTORA DE VEHÍCULOS,0.733,ELECTRICISTA DE VEHÍCULOS DE MOTOR,0.706,ALTA,False
Técnicos en metrología,LABORATORISTA EN METROLOGÍA,0.794,TÉCNICO EN METROLOGÍA / TÉCNICA EN METROLOGÍA,0.736,ALTA,False
6632,MONTAJISTA 360,0.111,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.078,BAJA,True
1353,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
